parent_channel,year_month,avg_gap_hours,gap_count
28slotcommie,2021-02,0.06,2
28slotcommie,2021-03,1328.07,1
28slotcommie,2021-04,5.93,24
28slotcommie,2021-05,13.62,54
28slotcommie,2021-06,28.14,26
28slotcommie,2021-07,111.86,6
28slotcommie,2021-08,863.75,1
28slotcommie,2021-09,70.85,9
28slotcommie,2023-12,38830.26,1
28slotcommie,2026-03,1.2,12
28slotcommie,2026-04,1988.11,1
achievements,2020-10,3.19,211
achievements,2020-11,14.5,47
achievements,2020-12,8.22,90
achievements,2021-01,2.82,264
achievements,2021-02,4.95,136
achievements,2021-03,2.69,277
achievements,2021-04,3.44,209
achievements,2021-05,2.05,361
achievements,2021-06,2.3,318
achievements,2021-07,1.88,393
achievements,2021-08,2.39,310
achievements,2021-09,1.92,377
achievements,2021-10,1.88,397
achievements,2021-11,1.77,405
achievements,2021-12,2.63,282
achievements,2022-01,1.86,406
achievements,2022-02,6.11,112
achievements,2022-03,3.36,215
achievements,2022-04,8.03,103
achievements,2022-05,5.69,113
achievements,2022-06,10.18,70
achievements,2022-07,13.56,55
achievements,2022-08,6.66,112
achievements,2022-09,8.68,83
achievements,2022-10,6.63,112
achievements,2022-11,9.55,78
achievements,2022-12,5.16,139
achievements,2023-01,4.23,176
achievements,2023-02,4.96,130
achievements,2023-03,5.12,153
achievements,2023-04,3.08,228
achievements,2023-05,6.19,121
achievements,2023-06,4.81,149
achievements,2023-07,7.98,94
achievements,2023-08,7.29,103
achievements,2023-09,8.8,81
achievements,2023-10,6.47,111
achievements,2023-11,5.7,131
achievements,2023-12,11.46,64
achievements,2024-01,6.08,124
achievements,2024-02,11.22,62
achievements,2024-03,6.02,127
achievements,2024-04,4.78,149
achievements,2024-05,9.39,79
achievements,2024-06,4.57,155
achievements,2024-07,7.24,104
achievements,2024-08,3.48,213
achievements,2024-09,8.25,90
achievements,2024-10,11.38,63
achievements,2024-11,5.79,124
achievements,2024-12,25.4,28
achievements,2025-01,19.41,40
achievements,2025-02,8.86,76
achievements,2025-03,5.0,148
achievements,2025-04,7.29,99
achievements,2025-05,6.18,121
achievements,2025-06,10.78,68
achievements,2025-07,7.8,94
achievements,2025-08,6.93,110
achievements,2025-09,9.1,77
achievements,2025-10,8.07,93
achievements,2025-11,3.48,204
achievements,2025-12,4.58,163
achievements,2026-01,5.96,125
achievements,2026-02,6.12,110
achievements,2026-03,5.93,125
achievements,2026-04,11.28,64
achievements,2026-05,8.61,84
achievements,2026-06,8.41,86
achievements,2026-07,6.92,57
advice,2020-10,3.16,15
advice,2020-11,1443.7,1
advice,2020-12,82.47,7
advice,2021-01,69.87,10
advice,2021-02,24.29,34
advice,2021-03,7.15,87
advice,2021-04,22.24,47
advice,2021-05,39.1,13
advice,2021-06,5.4,129
advice,2021-07,1.82,282
advice,2021-08,212.96,5
advice,2021-09,6.64,102
advice,2021-10,6.1,114
advice,2021-11,5.07,133
advice,2021-12,6.04,134
advice,2022-01,8.45,88
advice,2022-02,46.63,14
advice,2022-03,47.24,10
advice,2022-04,329.01,2
advice,2022-05,118.17,8
advice,2022-06,159.58,5
advice,2022-07,47.52,17
advice,2022-08,18.21,43
advice,2022-09,38.35,18
advice,2022-10,13.2,55
advice,2022-11,37.63,9
advice,2022-12,71.82,16
advice,2023-01,8.18,88
advice,2023-02,16.59,22
advice,2023-03,12.87,78
advice,2023-04,22.08,34
advice,2023-05,21.28,31
advice,2023-06,16.12,61
advice,2023-07,2.83,195
advice,2023-08,848.11,1
advice,2023-09,4.17,148
advice,2023-10,6.04,108
advice,2023-12,1684.64,1
advice,2024-01,23.06,28
advice,2024-02,4.62,145
advice,2024-03,18.16,41
advice,2024-04,32.57,25
advice,2024-05,13.34,47
advice,2024-06,7.02,109
advice,2024-07,48.1,22
advice,2024-08,0.55,27
advice,2024-09,1347.77,1
advice,2024-10,9.8,32
advice,2024-11,4.97,163
advice,2024-12,1659.75,1
advice,2025-02,2.52,248
advice,2025-03,2.01,372
advice,2025-04,4.16,156
advice,2025-05,13.28,57
advice,2025-06,47.48,17
advice,2025-07,14.87,53
advice,2025-08,7.29,92
advice,2025-09,2.14,331
advice,2025-10,9.41,95
advice,2025-11,8.08,59
advice,2025-12,5.75,155
advice,2026-01,2.93,254
advice,2026-02,9.66,65
advice,2026-03,9.04,84
advice,2026-04,13.67,48
advice,2026-05,9.1,89
advice,2026-06,10.82,65
advice,2026-07,4.79,69
announcements,2023-04,201.31,3
announcements,2023-05,9.54,74
announcements,2023-06,138.83,6
announcements,2023-07,27.5,27
announcements,2023-08,229.7,2
announcements,2023-09,60.33,8
announcements,2023-11,2945.63,1
announcements,2024-01,0.06,8
announcements,2024-02,1842.42,1
announcements,2024-03,26.12,1
announcements,2024-04,20.59,25
announcements,2024-05,467.67,2
announcements,2024-06,1072.63,1
announcements,2024-07,202.07,2
announcements,2024-08,363.86,2
announcements,2024-09,765.81,1
announcements,2024-10,105.94,7
announcements,2024-11,245.22,3
announcements,2024-12,267.43,2
announcements,2025-01,1649.25,1
announcements,2025-03,45.62,13
announcements,2025-04,1623.01,1
announcements,2025-06,1148.88,1
announcements,2025-09,2311.0,1
announcements,2025-10,0.11,2
announcements,2025-11,184.08,3
announcements,2025-12,151.08,7
announcements,2026-01,11.97,28
announcements,2026-02,1971.66,1
announcements,2026-04,373.64,1
announcements,2026-05,1847.65,1
announcements,2026-07,0.44,9
barrows-sisters,2023-10,6.38,94
barrows-sisters,2023-11,4.1,163
barrows-sisters,2023-12,14.53,45
barrows-sisters,2024-01,351.71,3
barrows-sisters,2024-02,19.17,30
barrows-sisters,2024-03,10.76,65
barrows-sisters,2024-04,5.98,120
barrows-sisters,2024-05,3.83,188
barrows-sisters,2024-06,2.85,287
barrows-sisters,2024-07,12.86,50
barrows-sisters,2024-08,38.55,21
barrows-sisters,2024-09,33.54,23
barrows-sisters,2024-10,21.28,35
barrows-sisters,2024-11,46.1,16
barrows-sisters,2024-12,252.2,2
barrows-sisters,2025-01,31.95,27
barrows-sisters,2025-02,50.45,13
barrows-sisters,2025-03,23.34,31
barrows-sisters,2025-04,10.46,60
barrows-sisters,2025-05,583.46,1
barrows-sisters,2025-06,1624.12,1
barrows-sisters,2025-08,169.82,4
barrows-sisters,2025-09,338.25,2
barrows-sisters,2025-10,41.69,24
barrows-sisters,2025-11,6.69,114
barrows-sisters,2025-12,37.03,19
barrows-sisters,2026-01,9.45,81
barrows-sisters,2026-02,21.97,31
barrows-sisters,2026-03,51.81,7
barrows-sisters,2026-04,1115.04,1
barrows-sisters,2026-05,129.27,6
barrows-sisters,2026-06,60.64,11
barrows-sisters,2026-07,49.27,7
bossing-text-channel,2020-10,10.96,64
bossing-text-channel,2020-11,19.79,41
bossing-text-channel,2020-12,1.27,530
bossing-text-channel,2021-01,15.58,45
bossing-text-channel,2021-02,6.43,101
bossing-text-channel,2021-03,4.66,164
bossing-text-channel,2021-04,3.63,191
bossing-text-channel,2021-05,10.02,77
