parent_channel,week_start,avg_gap_hours,gap_count
28slotcommie,2021-02-22,0.06,2
28slotcommie,2021-03-22,1328.07,1
28slotcommie,2021-04-19,1.21,18
28slotcommie,2021-04-26,15.39,11
28slotcommie,2021-05-03,6.48,26
28slotcommie,2021-05-10,15.82,10
28slotcommie,2021-05-17,42.57,5
28slotcommie,2021-05-24,26.66,5
28slotcommie,2021-05-31,15.16,11
28slotcommie,2021-06-07,29.28,5
28slotcommie,2021-06-14,64.44,3
28slotcommie,2021-06-21,19.4,8
28slotcommie,2021-06-28,38.11,4
28slotcommie,2021-07-12,579.09,1
28slotcommie,2021-07-26,7.75,3
28slotcommie,2021-08-16,863.75,1
28slotcommie,2021-08-30,4.7,8
28slotcommie,2021-09-13,600.04,1
28slotcommie,2023-12-11,38830.26,1
28slotcommie,2026-03-02,1.2,12
28slotcommie,2026-04-13,1988.11,1
achievements,2020-10-05,1.15,132
achievements,2020-10-12,2.48,64
achievements,2020-10-19,10.47,14
achievements,2020-10-26,217.54,1
achievements,2020-11-02,14.73,8
achievements,2020-11-09,205.35,1
achievements,2020-11-16,20.4,13
achievements,2020-11-23,2.74,24
achievements,2020-11-30,27.25,1
achievements,2020-12-07,364.8,1
achievements,2020-12-14,8.56,12
achievements,2020-12-21,5.39,34
achievements,2020-12-28,2.29,74
achievements,2021-01-04,4.18,44
achievements,2021-01-11,12.39,12
achievements,2021-01-18,1.4,130
achievements,2021-01-25,3.15,47
achievements,2021-02-01,4.01,36
achievements,2021-02-08,24.74,7
achievements,2021-02-15,2.66,72
achievements,2021-02-22,7.8,21
achievements,2021-03-01,4.41,39
achievements,2021-03-08,1.91,87
achievements,2021-03-15,2.27,72
achievements,2021-03-22,2.45,69
achievements,2021-03-29,3.81,44
achievements,2021-04-05,4.49,38
achievements,2021-04-12,2.81,59
achievements,2021-04-19,4.41,38
achievements,2021-04-26,1.81,93
achievements,2021-05-03,3.53,44
achievements,2021-05-10,2.47,73
achievements,2021-05-17,1.83,91
achievements,2021-05-24,1.92,88
achievements,2021-05-31,2.12,80
achievements,2021-06-07,1.82,92
achievements,2021-06-14,3.5,48
achievements,2021-06-21,2.46,71
achievements,2021-06-28,2.25,76
achievements,2021-07-05,1.69,94
achievements,2021-07-12,2.57,65
achievements,2021-07-19,1.18,139
achievements,2021-07-26,2.46,62
achievements,2021-08-02,4.84,39
achievements,2021-08-09,2.15,73
achievements,2021-08-16,2.49,81
achievements,2021-08-23,1.6,95
achievements,2021-08-30,2.61,62
achievements,2021-09-06,1.52,108
achievements,2021-09-13,2.95,58
achievements,2021-09-20,1.52,109
achievements,2021-09-27,1.71,99
achievements,2021-10-04,1.46,117
achievements,2021-10-11,1.49,111
achievements,2021-10-18,1.86,88
achievements,2021-10-25,4.4,40
achievements,2021-11-01,1.43,115
achievements,2021-11-08,1.73,102
achievements,2021-11-15,1.45,111
achievements,2021-11-22,3.04,60
achievements,2021-11-29,2.54,60
achievements,2021-12-06,2.1,79
achievements,2021-12-13,2.37,68
achievements,2021-12-20,3.15,58
achievements,2021-12-27,3.03,51
achievements,2022-01-03,1.72,103
achievements,2022-01-10,1.79,94
achievements,2022-01-17,1.05,139
achievements,2022-01-24,4.15,53
achievements,2022-01-31,5.29,33
achievements,2022-02-07,6.11,24
achievements,2022-02-14,4.77,21
achievements,2022-02-21,6.9,32
achievements,2022-02-28,3.76,44
achievements,2022-03-07,2.21,77
achievements,2022-03-14,3.36,55
achievements,2022-03-21,4.42,30
achievements,2022-03-28,7.84,22
achievements,2022-04-04,18.19,10
achievements,2022-04-11,2.77,60
achievements,2022-04-18,9.92,18
achievements,2022-04-25,60.09,4
achievements,2022-05-02,2.52,43
achievements,2022-05-09,13.41,12
achievements,2022-05-16,4.86,30
achievements,2022-05-23,7.92,22
achievements,2022-05-30,6.26,27
achievements,2022-06-06,8.68,20
achievements,2022-06-13,31.09,7
achievements,2022-06-20,11.33,12
achievements,2022-06-27,14.74,11
achievements,2022-07-04,11.99,8
achievements,2022-07-11,106.85,2
achievements,2022-07-18,8.35,21
achievements,2022-07-25,7.34,23
achievements,2022-08-01,6.27,26
achievements,2022-08-08,6.11,30
achievements,2022-08-15,5.64,28
achievements,2022-08-22,6.84,23
achievements,2022-08-29,25.07,8
achievements,2022-09-05,4.08,32
achievements,2022-09-12,17.67,12
achievements,2022-09-19,11.58,13
achievements,2022-09-26,5.37,29
achievements,2022-10-03,7.11,24
achievements,2022-10-10,6.81,24
achievements,2022-10-17,5.14,33
achievements,2022-10-24,11.75,13
achievements,2022-10-31,9.2,21
achievements,2022-11-07,5.88,31
achievements,2022-11-14,14.81,9
achievements,2022-11-21,20.09,9
achievements,2022-11-28,4.86,34
achievements,2022-12-05,7.45,23
achievements,2022-12-12,3.07,55
achievements,2022-12-19,5.0,30
achievements,2022-12-26,10.38,18
achievements,2023-01-02,4.99,34
achievements,2023-01-09,3.31,51
achievements,2023-01-16,6.34,26
achievements,2023-01-23,4.48,38
achievements,2023-01-30,2.95,57
achievements,2023-02-06,5.16,32
achievements,2023-02-13,4.8,34
achievements,2023-02-20,6.97,26
achievements,2023-02-27,16.02,10
achievements,2023-03-06,4.91,29
achievements,2023-03-13,3.15,61
achievements,2023-03-20,3.64,45
achievements,2023-03-27,10.42,17
achievements,2023-04-03,1.89,86
achievements,2023-04-10,3.77,46
achievements,2023-04-17,3.13,52
achievements,2023-04-24,3.83,42
achievements,2023-05-01,8.18,22
achievements,2023-05-08,8.24,22
achievements,2023-05-15,5.23,30
achievements,2023-05-22,5.81,33
achievements,2023-05-29,4.46,31
achievements,2023-06-05,5.09,33
achievements,2023-06-12,4.28,45
achievements,2023-06-19,6.18,22
achievements,2023-06-26,5.15,37
achievements,2023-07-03,14.65,12
achievements,2023-07-10,4.39,36
achievements,2023-07-17,9.74,11
achievements,2023-07-24,7.51,26
achievements,2023-07-31,5.5,36
achievements,2023-08-07,4.26,39
achievements,2023-08-14,12.25,13
achievements,2023-08-21,15.32,10
achievements,2023-08-28,7.75,23
achievements,2023-09-04,5.7,29
achievements,2023-09-11,10.35,19
achievements,2023-09-18,21.2,7
achievements,2023-09-25,13.01,13
achievements,2023-10-02,11.97,13
achievements,2023-10-09,4.36,45
achievements,2023-10-16,5.48,28
achievements,2023-10-23,6.29,23
achievements,2023-10-30,4.9,38
achievements,2023-11-06,5.04,33
achievements,2023-11-13,6.63,26
achievements,2023-11-20,7.18,24
achievements,2023-11-27,6.55,25
achievements,2023-12-04,15.17,11
achievements,2023-12-11,13.16,13
achievements,2023-12-18,8.59,19
achievements,2023-12-25,23.06,7
achievements,2024-01-01,8.84,21
achievements,2024-01-08,5.31,30
achievements,2024-01-15,5.69,25
achievements,2024-01-22,5.27,35
achievements,2024-01-29,8.77,20
achievements,2024-02-05,23.59,9
achievements,2024-02-12,7.05,18
achievements,2024-02-19,15.06,11
achievements,2024-02-26,7.84,22
achievements,2024-03-04,7.69,23
achievements,2024-03-11,6.28,25
achievements,2024-03-18,2.78,60
achievements,2024-03-25,13.54,14
achievements,2024-04-01,2.33,60
achievements,2024-04-08,12.54,14
achievements,2024-04-15,4.41,37
achievements,2024-04-22,5.48,31
achievements,2024-04-29,6.22,27
achievements,2024-05-06,6.22,28
achievements,2024-05-13,9.79,17
achievements,2024-05-20,13.78,12
achievements,2024-05-27,8.52,19
achievements,2024-06-03,10.93,16
achievements,2024-06-10,7.62,20
achievements,2024-06-17,4.01,46
achievements,2024-06-24,2.98,56
achievements,2024-07-01,3.91,43
achievements,2024-07-08,8.05,21
achievements,2024-07-15,6.18,27
achievements,2024-07-22,15.38,12
achievements,2024-07-29,11.53,13
achievements,2024-08-05,2.54,67
achievements,2024-08-12,12.51,12
achievements,2024-08-19,3.7,47
achievements,2024-08-26,2.32,77
achievements,2024-09-02,7.84,25
achievements,2024-09-09,4.33,38
achievements,2024-09-16,6.4,20
achievements,2024-09-23,44.58,4
achievements,2024-09-30,14.52,11
achievements,2024-10-07,26.28,7
achievements,2024-10-14,11.1,15
achievements,2024-10-21,12.56,13
achievements,2024-10-28,7.4,23
achievements,2024-11-04,11.74,15
achievements,2024-11-11,2.9,64
achievements,2024-11-18,4.96,27
achievements,2024-11-25,11.99,14
achievements,2024-12-02,27.25,7
achievements,2024-12-09,9.29,15
achievements,2024-12-16,140.2,1
achievements,2024-12-23,56.44,4
achievements,2024-12-30,242.31,1
achievements,2025-01-06,12.41,6
achievements,2025-01-13,13.56,11
achievements,2025-01-20,55.54,4
achievements,2025-01-27,7.43,21
achievements,2025-02-03,5.38,28
achievements,2025-02-10,10.28,16
achievements,2025-02-17,7.18,23
achievements,2025-02-24,4.98,35
achievements,2025-03-03,5.45,30
achievements,2025-03-10,6.39,29
achievements,2025-03-17,5.27,29
achievements,2025-03-24,5.68,30
achievements,2025-03-31,4.2,39
achievements,2025-04-07,15.48,11
achievements,2025-04-14,8.64,20
achievements,2025-04-21,12.39,15
achievements,2025-04-28,3.28,45
achievements,2025-05-05,25.04,7
achievements,2025-05-12,3.51,43
achievements,2025-05-19,7.65,23
achievements,2025-05-26,8.14,20
achievements,2025-06-02,6.24,28
achievements,2025-06-09,9.36,19
achievements,2025-06-16,14.98,10
achievements,2025-06-23,23.75,9
achievements,2025-06-30,10.02,13
achievements,2025-07-07,12.02,14
achievements,2025-07-14,20.7,8
achievements,2025-07-21,9.79,17
achievements,2025-07-28,4.06,48
achievements,2025-08-04,4.58,28
achievements,2025-08-11,4.78,38
achievements,2025-08-18,7.85,22
achievements,2025-08-25,11.73,16
achievements,2025-09-01,6.5,26
achievements,2025-09-08,9.11,16
achievements,2025-09-15,8.82,19
achievements,2025-09-22,11.45,15
achievements,2025-09-29,16.8,10
achievements,2025-10-06,8.07,21
achievements,2025-10-13,7.47,22
achievements,2025-10-20,5.81,28
achievements,2025-10-27,6.44,27
achievements,2025-11-03,5.84,29
achievements,2025-11-10,8.02,18
achievements,2025-11-17,1.9,101
achievements,2025-11-24,3.88,42
achievements,2025-12-01,3.38,50
achievements,2025-12-08,4.4,40
achievements,2025-12-15,4.75,33
achievements,2025-12-22,6.42,28
achievements,2025-12-29,4.86,33
achievements,2026-01-05,6.95,24
achievements,2026-01-12,5.38,37
achievements,2026-01-19,13.25,12
achievements,2026-01-26,4.47,32
achievements,2026-02-02,12.91,13
achievements,2026-02-09,4.21,41
achievements,2026-02-16,8.83,19
achievements,2026-02-23,4.13,41
achievements,2026-03-02,4.67,37
achievements,2026-03-09,6.53,25
achievements,2026-03-16,3.49,41
achievements,2026-03-23,12.73,15
achievements,2026-03-30,6.13,31
achievements,2026-04-06,8.01,17
achievements,2026-04-13,15.64,11
achievements,2026-04-20,48.27,4
achievements,2026-04-27,29.22,4
achievements,2026-05-04,39.84,5
achievements,2026-05-11,10.0,17
achievements,2026-05-18,4.84,34
achievements,2026-05-25,5.64,27
achievements,2026-06-01,15.8,12
achievements,2026-06-08,7.65,19
achievements,2026-06-15,8.96,19
achievements,2026-06-22,6.32,29
achievements,2026-06-29,15.51,11
achievements,2026-07-06,4.17,40
achievements,2026-07-13,7.05,13
advice,2020-09-28,5.18,2
advice,2020-10-05,2.85,13
advice,2020-11-02,1443.7,1
advice,2020-11-30,13.67,2
advice,2020-12-07,143.05,1
advice,2020-12-14,338.56,1
advice,2020-12-21,0.01,2
advice,2020-12-28,63.42,3
advice,2021-01-04,120.65,1
advice,2021-01-11,225.17,1
advice,2021-01-18,31.78,5
advice,2021-01-25,72.02,1
advice,2021-02-01,23.75,10
advice,2021-02-08,317.88,1
advice,2021-02-15,16.74,4
advice,2021-02-22,10.72,19
advice,2021-03-01,0.01,1
advice,2021-03-08,418.88,1
advice,2021-03-15,5.52,5
advice,2021-03-22,2.97,59
advice,2021-03-29,4.16,38
advice,2021-04-05,6.88,21
advice,2021-04-12,15.03,8
advice,2021-04-26,623.15,1
advice,2021-05-10,10.51,11
advice,2021-05-17,64.87,1
advice,2021-05-24,327.86,1
advice,2021-05-31,4.27,32
advice,2021-06-07,10.47,19
advice,2021-06-14,11.02,11
advice,2021-06-21,43.44,4
advice,2021-06-28,0.53,287
advice,2021-07-05,3.02,40
advice,2021-07-12,241.22,1
advice,2021-07-19,3.9,17
advice,2021-08-09,851.47,1
advice,2021-08-23,1.99,3
advice,2021-08-30,17.39,13
advice,2021-09-06,30.18,6
advice,2021-09-13,2.47,63
advice,2021-09-20,8.0,20
advice,2021-09-27,12.46,13
advice,2021-10-04,48.01,4
advice,2021-10-11,9.03,23
advice,2021-10-18,5.38,24
advice,2021-10-25,3.25,51
advice,2021-11-01,3.54,47
advice,2021-11-08,2.71,61
advice,2021-11-15,42.18,2
advice,2021-11-22,12.26,21
advice,2021-11-29,0.05,2
advice,2021-12-06,345.84,1
advice,2021-12-13,0.68,76
advice,2021-12-20,6.82,42
advice,2021-12-27,6.32,20
advice,2022-01-03,10.71,15
advice,2022-01-10,8.62,24
advice,2022-01-17,3.9,42
advice,2022-01-24,105.58,2
advice,2022-01-31,36.46,4
advice,2022-02-07,2.02,5
advice,2022-02-14,495.47,1
advice,2022-02-28,0.36,4
advice,2022-03-07,456.38,1
advice,2022-03-14,1.78,9
advice,2022-03-28,657.38,1
advice,2022-04-11,0.64,1
advice,2022-05-02,717.78,1
advice,2022-05-16,72.63,2
advice,2022-05-23,16.47,5
advice,2022-05-30,445.93,1
advice,2022-06-20,351.94,1
advice,2022-06-27,0.0,3
advice,2022-07-04,480.58,1
advice,2022-07-18,0.07,15
advice,2022-07-25,326.31,1
advice,2022-08-01,5.23,25
advice,2022-08-08,308.64,1
advice,2022-08-15,2.28,16
