parent_channel,rank,gap_start,gap_end,gap_hours
28slotcommie,1,2021-09-29T15:01:24.555000+00:00,2026-03-05T13:17:18.411000+00:00,38830.26
28slotcommie,2,2026-03-06T03:41:28.584000+00:00,2026-05-27T23:48:02.939000+00:00,1988.11
28slotcommie,3,2021-02-28T17:01:47.876000+00:00,2021-04-25T01:05:49.453000+00:00,1328.07
28slotcommie,4,2021-07-29T01:37:47.199000+00:00,2021-09-03T01:22:41.608000+00:00,863.75
28slotcommie,5,2021-09-04T14:58:59.299000+00:00,2021-09-29T15:01:24.555000+00:00,600.04
achievements,1,2020-12-01T03:38:04.754000+00:00,2020-12-16T08:25:54.383000+00:00,364.8
achievements,2,2024-12-30T13:23:13.421000+00:00,2025-01-09T15:42:05.513000+00:00,242.31
achievements,3,2022-04-25T16:31:50.604000+00:00,2022-05-05T09:26:30.338000+00:00,232.91
achievements,4,2020-10-24T16:40:53.832000+00:00,2020-11-02T18:13:10.628000+00:00,217.54
achievements,5,2022-07-08T17:17:01.294000+00:00,2022-07-17T14:54:16.341000+00:00,213.62
advice,1,2023-10-26T22:30:53.024000+00:00,2024-01-05T03:09:16.917000+00:00,1684.64
advice,2,2024-11-25T14:00:45.208000+00:00,2025-02-02T17:45:45.070000+00:00,1659.75
advice,3,2020-10-06T14:28:47.074000+00:00,2020-12-05T18:10:40.880000+00:00,1443.7
advice,4,2024-08-14T15:12:35.223000+00:00,2024-10-09T18:58:56.858000+00:00,1347.77
advice,5,2022-11-15T02:13:42.344000+00:00,2022-12-29T18:40:20.175000+00:00,1072.44
announcements,1,2023-09-13T00:00:03.446000+00:00,2024-01-13T17:38:04.592000+00:00,2945.63
announcements,2,2025-07-21T13:22:48.534000+00:00,2025-10-25T20:22:46.544000+00:00,2311.0
announcements,3,2026-01-14T21:33:59.003000+00:00,2026-04-07T01:13:31.638000+00:00,1971.66
announcements,4,2026-04-22T14:51:44.173000+00:00,2026-07-08T14:30:36.517000+00:00,1847.65
announcements,5,2024-01-13T18:05:01.974000+00:00,2024-03-30T12:30:29.077000+00:00,1842.42
barrows-sisters,1,2025-05-19T08:58:03.368000+00:00,2025-07-26T01:05:31.101000+00:00,1624.12
barrows-sisters,2,2026-03-17T16:55:19.299000+00:00,2026-05-03T03:57:40.356000+00:00,1115.04
barrows-sisters,3,2025-08-23T08:23:01.288000+00:00,2025-09-19T23:49:46.699000+00:00,663.45
barrows-sisters,4,2025-09-20T12:52:55.757000+00:00,2025-10-16T23:50:39.582000+00:00,634.96
barrows-sisters,5,2025-12-06T15:42:12.260000+00:00,2025-12-31T02:30:17.212000+00:00,586.8
bossing-text-channel,1,2022-03-19T20:06:14.092000+00:00,2022-06-25T18:19:10.105000+00:00,2350.22
bossing-text-channel,2,2022-08-07T22:00:05.736000+00:00,2022-10-14T02:51:55.006000+00:00,1612.86
bossing-text-channel,3,2022-01-09T01:48:49.672000+00:00,2022-02-25T09:38:30.494000+00:00,1135.83
bossing-text-channel,4,2022-10-14T16:31:39.247000+00:00,2022-11-24T03:20:17.858000+00:00,970.81
bossing-text-channel,5,2021-10-17T06:03:26.624000+00:00,2021-11-10T03:41:28.898000+00:00,573.63
bot-commands,1,2026-05-07T02:26:09.786000+00:00,2026-05-28T15:41:24.896000+00:00,517.25
bot-commands,2,2026-05-28T15:53:20.691000+00:00,2026-06-09T01:18:35.914000+00:00,273.42
bot-commands,3,2026-04-29T19:39:34.576000+00:00,2026-05-06T23:59:30.903000+00:00,172.33
bot-commands,4,2026-04-23T21:04:20.506000+00:00,2026-04-29T19:39:34.576000+00:00,142.59
bot-commands,5,2026-06-09T12:55:37.381000+00:00,2026-06-14T16:30:19.356000+00:00,123.58
clan-charter,1,2026-04-04T19:44:27.177000+00:00,2026-04-04T19:44:57.949000+00:00,0.01
clan-charter,2,2026-04-04T19:44:04.433000+00:00,2026-04-04T19:44:27.177000+00:00,0.01
content-recs,1,2024-03-29T12:41:22.117000+00:00,2024-07-03T16:44:06.791000+00:00,2308.05
content-recs,2,2024-01-28T03:14:53.401000+00:00,2024-03-05T01:34:07.097000+00:00,886.32
content-recs,3,2023-05-10T00:51:01.479000+00:00,2023-06-14T18:30:08.726000+00:00,857.65
content-recs,4,2023-06-14T18:43:07.514000+00:00,2023-07-19T12:31:57.416000+00:00,833.81
content-recs,5,2022-06-04T17:17:47.729000+00:00,2022-07-08T02:34:18.638000+00:00,801.28
