parent_channel,rank,burst_start,burst_end,message_count,unique_participants,top1_share_pct,reply_ratio_pct,avg_reactions,channel_daily_rate,spike_ratio
28slotcommie,1,2021-04-25T01:05:49.453000+00:00,2021-04-25T22:54:48.168000+00:00,19,1,100.0,0.0,0.63,0.07,270.44
28slotcommie,2,2026-03-05T13:17:18.411000+00:00,2026-03-06T03:41:28.584000+00:00,13,4,53.8,30.8,0.08,0.07,185.04
28slotcommie,3,2021-09-03T01:22:41.608000+00:00,2021-09-03T01:29:37.459000+00:00,8,1,100.0,0.0,0.25,0.07,113.87
28slotcommie,4,2021-05-04T01:48:22.963000+00:00,2021-05-05T00:53:49.706000+00:00,7,2,85.7,0.0,1.86,0.07,99.63
28slotcommie,5,2021-05-06T01:28:31.991000+00:00,2021-05-07T01:16:24.103000+00:00,7,2,85.7,0.0,0.43,0.07,99.63
achievements,1,2021-01-18T04:41:34.323000+00:00,2021-01-18T22:00:36.461000+00:00,116,9,22.4,6.0,0.12,4.966,23.36
achievements,2,2022-01-22T23:49:03.879000+00:00,2022-01-23T02:56:27.879000+00:00,102,9,34.3,8.8,0.05,4.966,20.54
achievements,3,2025-11-19T18:15:19.338000+00:00,2025-11-20T17:58:26.199000+00:00,70,10,65.7,14.3,0.41,4.966,14.1
achievements,4,2020-10-06T19:43:56.674000+00:00,2020-10-07T15:20:50.027000+00:00,62,9,22.6,0.0,0.13,4.966,12.49
achievements,5,2023-04-04T04:45:42.062000+00:00,2023-04-05T00:35:12.424000+00:00,62,17,27.4,25.8,0.9,4.966,12.49
advice,1,2026-01-02T19:46:35.580000+00:00,2026-01-02T22:45:57.306000+00:00,167,10,47.3,10.2,0.29,2.423,68.92
advice,2,2021-07-02T11:42:18.104000+00:00,2021-07-03T07:37:20.435000+00:00,111,8,42.3,1.8,0.0,2.423,45.81
advice,3,2023-07-09T19:23:49.372000+00:00,2023-07-10T16:02:50.678000+00:00,102,9,30.4,6.9,0.07,2.423,42.09
advice,4,2023-09-20T21:08:05.903000+00:00,2023-09-21T17:09:01.103000+00:00,101,13,23.8,27.7,0.2,2.423,41.68
advice,5,2021-07-01T00:34:13.016000+00:00,2021-07-02T00:29:58.472000+00:00,97,11,44.3,2.1,0.0,2.423,40.03
announcements,1,2023-05-20T18:51:00.586000+00:00,2023-05-21T05:09:14.361000+00:00,29,8,27.6,17.2,0.45,0.205,141.16
announcements,2,2023-05-01T16:19:00.218000+00:00,2023-05-02T02:04:41.503000+00:00,23,7,43.5,8.7,4.22,0.205,111.95
announcements,3,2026-01-12T07:38:03.500000+00:00,2026-01-13T02:13:20.477000+00:00,22,7,45.5,13.6,1.23,0.205,107.09
announcements,4,2023-05-27T09:04:33.756000+00:00,2023-05-28T02:43:00.988000+00:00,12,5,58.3,16.7,0.58,0.205,58.41
announcements,5,2025-03-03T08:23:41.712000+00:00,2025-03-03T21:32:44.937000+00:00,12,6,50.0,16.7,1.33,0.205,58.41
barrows-sisters,1,2024-06-12T19:38:54.649000+00:00,2024-06-13T19:21:10.551000+00:00,181,7,33.7,16.0,0.01,1.561,115.94
barrows-sisters,2,2025-11-21T02:18:55.449000+00:00,2025-11-21T22:10:29.273000+00:00,81,9,28.4,13.6,0.25,1.561,51.88
barrows-sisters,3,2023-11-01T19:04:06.993000+00:00,2023-11-02T18:41:33.959000+00:00,68,10,30.9,5.9,0.01,1.561,43.56
barrows-sisters,4,2024-06-04T00:02:43.726000+00:00,2024-06-04T21:01:56.016000+00:00,60,7,40.0,18.3,0.15,1.561,38.43
barrows-sisters,5,2024-05-26T23:09:33.855000+00:00,2024-05-27T23:08:11.268000+00:00,47,3,53.2,31.9,0.0,1.561,30.11
bossing-text-channel,1,2020-12-23T18:46:19.008000+00:00,2020-12-24T10:53:50.736000+00:00,170,10,36.5,0.0,0.02,0.84,202.3
bossing-text-channel,2,2021-04-21T23:12:50.253000+00:00,2021-04-21T23:39:26.951000+00:00,87,3,59.8,0.0,0.0,0.84,103.53
bossing-text-channel,3,2020-12-26T03:18:45.050000+00:00,2020-12-27T00:32:14.683000+00:00,70,10,24.3,0.0,0.0,0.84,83.3
bossing-text-channel,4,2020-12-11T23:36:55.634000+00:00,2020-12-12T23:19:25.307000+00:00,58,10,44.8,1.7,0.07,0.84,69.02
bossing-text-channel,5,2021-06-20T19:36:10.513000+00:00,2021-06-21T18:25:15.975000+00:00,52,10,34.6,1.9,0.06,0.84,61.88
bot-commands,1,2026-04-07T01:07:14.348000+00:00,2026-04-08T00:26:48.957000+00:00,190,34,27.4,9.5,0.19,2.746,69.2
bot-commands,2,2026-07-13T03:12:06.614000+00:00,2026-07-13T10:30:34.143000+00:00,7,5,42.9,0.0,0.0,2.746,2.55
bot-commands,3,2026-06-09T01:18:35.914000+00:00,2026-06-09T12:55:37.381000+00:00,6,5,33.3,0.0,0.0,2.746,2.19
bot-commands,4,2026-04-09T15:38:36.938000+00:00,2026-04-10T05:29:40.645000+00:00,5,5,20.0,0.0,0.0,2.746,1.82
content-recs,1,2021-02-02T14:34:48.225000+00:00,2021-02-03T12:27:06.313000+00:00,309,13,33.7,6.1,0.07,1.585,194.97
content-recs,2,2023-04-01T19:11:27.889000+00:00,2023-04-02T19:11:13.071000+00:00,266,6,58.6,8.3,0.05,1.585,167.84
content-recs,3,2021-05-15T03:18:56.775000+00:00,2021-05-15T10:11:35.494000+00:00,234,5,48.7,3.8,0.0,1.585,147.65
content-recs,4,2021-06-15T01:22:49.722000+00:00,2021-06-15T23:35:28.487000+00:00,87,9,48.3,8.0,0.03,1.585,54.89
content-recs,5,2023-04-18T20:16:18.505000+00:00,2023-04-19T05:11:22.858000+00:00,78,2,89.7,9.0,0.0,1.585,49.22
cooking-guild,1,2023-02-09T23:30:39.451000+00:00,2023-02-10T23:22:04.548000+00:00,53,9,43.4,15.1,0.06,1.737,30.52
cooking-guild,2,2023-11-02T15:55:24.040000+00:00,2023-11-03T15:53:24.100000+00:00,49,7,51.0,12.2,0.22,1.737,28.21
cooking-guild,3,2026-03-07T16:02:11.485000+00:00,2026-03-08T01:49:45.069000+00:00,49,8,32.7,12.2,0.39,1.737,28.21
cooking-guild,4,2023-02-21T23:55:58.093000+00:00,2023-02-22T14:49:58.939000+00:00,46,11,21.7,4.3,0.04,1.737,26.49
cooking-guild,5,2024-03-11T19:59:05.430000+00:00,2024-03-12T06:37:57.197000+00:00,43,5,53.5,11.6,0.0,1.737,24.76
cox-resources,1,2021-06-20T04:42:56.934000+00:00,2021-06-20T07:22:27.037000+00:00,12,1,100.0,0.0,0.08,0.01,1170.14
cursed-liberal-content,1,2021-01-28T00:35:46.070000+00:00,2021-01-28T23:36:06.744000+00:00,367,15,22.1,6.5,0.1,8.157,44.99
cursed-liberal-content,2,2025-12-11T01:01:30.823000+00:00,2025-12-12T00:15:38.698000+00:00,337,18,58.2,14.5,0.5,8.157,41.32
cursed-liberal-content,3,2024-03-27T18:31:55.451000+00:00,2024-03-28T18:31:54.714000+00:00,308,16,30.5,19.2,0.17,8.157,37.76
cursed-liberal-content,4,2025-12-18T22:03:44.791000+00:00,2025-12-19T03:40:14.739000+00:00,218,9,47.7,8.7,0.13,8.157,26.73
cursed-liberal-content,5,2021-02-09T20:25:08.592000+00:00,2021-02-10T20:24:32.867000+00:00,214,8,31.8,4.2,0.09,8.157,26.24
dank-tank,1,2023-01-30T01:28:21.482000+00:00,2023-01-30T21:59:03.939000+00:00,66,10,30.3,4.5,0.12,0.932,70.83
dank-tank,2,2025-11-29T06:12:54.619000+00:00,2025-11-30T00:29:53.512000+00:00,52,7,25.0,21.2,0.12,0.932,55.81
dank-tank,3,2021-04-19T18:48:08.327000+00:00,2021-04-20T17:06:11.756000+00:00,49,11,51.0,0.0,0.12,0.932,52.59
dank-tank,4,2021-01-24T17:51:07.086000+00:00,2021-01-25T15:42:45.836000+00:00,41,5,36.6,0.0,0.02,0.932,44.0
dank-tank,5,2021-03-19T17:15:55.400000+00:00,2021-03-19T22:55:59.419000+00:00,36,7,33.3,0.0,0.03,0.932,38.64
edgeville,1,2026-02-11T17:10:31.190000+00:00,2026-02-12T16:46:34.548000+00:00,893,26,14.3,19.6,0.26,21.274,41.98
edgeville,2,2021-12-07T03:23:48.812000+00:00,2021-12-08T00:53:48.428000+00:00,521,15,19.6,10.2,0.06,21.274,24.49
edgeville,3,2023-02-14T10:15:14.569000+00:00,2023-02-15T06:27:04.241000+00:00,479,18,28.4,10.6,0.07,21.274,22.52
edgeville,4,2023-09-25T12:55:47.140000+00:00,2023-09-26T11:59:08.793000+00:00,427,20,24.8,9.4,0.14,21.274,20.07
edgeville,5,2025-12-03T05:43:42.970000+00:00,2025-12-04T03:13:01.307000+00:00,349,27,22.1,12.6,0.39,21.274,16.4
events,1,2022-07-30T16:33:56.451000+00:00,2022-07-31T15:04:16.011000+00:00,107,17,29.9,5.6,0.02,4.952,21.61
events,2,2021-06-01T23:25:28.190000+00:00,2021-06-02T23:19:37.918000+00:00,92,10,40.2,8.7,0.21,4.952,18.58
events,3,2023-01-31T16:57:43.992000+00:00,2023-02-01T16:36:24.880000+00:00,84,11,26.2,25.0,0.11,4.952,16.96
events,4,2021-01-11T20:15:55.091000+00:00,2021-01-12T19:14:41.960000+00:00,77,8,29.9,3.9,0.08,4.952,15.55
