parent_channel,year_month,message_count
28slotcommie,2021-02,3
28slotcommie,2021-04,25
28slotcommie,2021-05,54
28slotcommie,2021-06,25
28slotcommie,2021-07,7
28slotcommie,2021-09,10
28slotcommie,2026-03,13
28slotcommie,2026-05,1
achievements,2020-10,211
achievements,2020-11,47
achievements,2020-12,91
achievements,2021-01,264
achievements,2021-02,136
achievements,2021-03,277
achievements,2021-04,209
achievements,2021-05,361
achievements,2021-06,317
achievements,2021-07,394
achievements,2021-08,310
achievements,2021-09,376
achievements,2021-10,397
achievements,2021-11,405
achievements,2021-12,283
achievements,2022-01,405
achievements,2022-02,112
achievements,2022-03,216
achievements,2022-04,102
achievements,2022-05,113
achievements,2022-06,71
achievements,2022-07,55
achievements,2022-08,111
achievements,2022-09,83
achievements,2022-10,113
achievements,2022-11,77
achievements,2022-12,140
achievements,2023-01,176
achievements,2023-02,130
achievements,2023-03,152
achievements,2023-04,229
achievements,2023-05,121
achievements,2023-06,149
achievements,2023-07,94
achievements,2023-08,102
achievements,2023-09,82
achievements,2023-10,111
achievements,2023-11,130
achievements,2023-12,65
achievements,2024-01,123
achievements,2024-02,62
achievements,2024-03,127
achievements,2024-04,149
achievements,2024-05,79
achievements,2024-06,156
achievements,2024-07,103
achievements,2024-08,213
achievements,2024-09,90
achievements,2024-10,63
achievements,2024-11,125
achievements,2024-12,28
achievements,2025-01,40
achievements,2025-02,76
achievements,2025-03,148
achievements,2025-04,99
achievements,2025-05,120
achievements,2025-06,68
achievements,2025-07,94
achievements,2025-08,110
achievements,2025-09,77
achievements,2025-10,93
achievements,2025-11,205
achievements,2025-12,162
achievements,2026-01,125
achievements,2026-02,110
achievements,2026-03,125
achievements,2026-04,64
achievements,2026-05,85
achievements,2026-06,86
achievements,2026-07,57
advice,2020-10,16
advice,2020-12,8
advice,2021-01,10
advice,2021-02,33
advice,2021-03,88
advice,2021-04,46
advice,2021-05,13
advice,2021-06,129
advice,2021-07,283
advice,2021-08,4
advice,2021-09,102
advice,2021-10,115
advice,2021-11,133
advice,2021-12,133
advice,2022-01,88
advice,2022-02,15
advice,2022-03,10
advice,2022-04,2
advice,2022-05,8
advice,2022-06,5
advice,2022-07,16
advice,2022-08,43
advice,2022-09,18
advice,2022-10,56
advice,2022-11,9
advice,2022-12,15
advice,2023-01,89
advice,2023-02,22
advice,2023-03,78
advice,2023-04,34
advice,2023-05,31
advice,2023-06,60
advice,2023-07,196
advice,2023-09,149
advice,2023-10,108
advice,2024-01,28
advice,2024-02,146
advice,2024-03,41
advice,2024-04,24
advice,2024-05,48
advice,2024-06,109
advice,2024-07,21
advice,2024-08,28
advice,2024-10,33
advice,2024-11,163
advice,2025-02,249
advice,2025-03,372
advice,2025-04,156
advice,2025-05,57
advice,2025-06,16
advice,2025-07,53
advice,2025-08,93
advice,2025-09,331
advice,2025-10,94
advice,2025-11,60
advice,2025-12,154
advice,2026-01,254
advice,2026-02,66
advice,2026-03,83
advice,2026-04,49
advice,2026-05,88
advice,2026-06,65
advice,2026-07,70
announcements,2023-04,3
announcements,2023-05,75
announcements,2023-06,5
announcements,2023-07,27
announcements,2023-08,3
announcements,2023-09,8
announcements,2024-01,9
announcements,2024-03,2
announcements,2024-04,25
announcements,2024-05,2
announcements,2024-07,3
announcements,2024-08,2
announcements,2024-10,7
announcements,2024-11,3
announcements,2024-12,3
announcements,2025-03,14
announcements,2025-06,1
announcements,2025-07,1
announcements,2025-10,3
announcements,2025-11,3
announcements,2025-12,7
announcements,2026-01,28
announcements,2026-04,2
announcements,2026-07,10
barrows-sisters,2023-10,95
barrows-sisters,2023-11,163
barrows-sisters,2023-12,45
barrows-sisters,2024-01,2
barrows-sisters,2024-02,30
barrows-sisters,2024-03,65
barrows-sisters,2024-04,121
barrows-sisters,2024-05,188
barrows-sisters,2024-06,286
barrows-sisters,2024-07,51
barrows-sisters,2024-08,20
barrows-sisters,2024-09,23
barrows-sisters,2024-10,35
barrows-sisters,2024-11,16
barrows-sisters,2024-12,3
barrows-sisters,2025-01,27
barrows-sisters,2025-02,13
barrows-sisters,2025-03,31
barrows-sisters,2025-04,60
barrows-sisters,2025-05,1
barrows-sisters,2025-07,1
barrows-sisters,2025-08,4
barrows-sisters,2025-09,2
barrows-sisters,2025-10,23
barrows-sisters,2025-11,114
barrows-sisters,2025-12,19
barrows-sisters,2026-01,81
barrows-sisters,2026-02,31
barrows-sisters,2026-03,8
barrows-sisters,2026-05,6
barrows-sisters,2026-06,11
barrows-sisters,2026-07,8
bossing-text-channel,2020-10,64
bossing-text-channel,2020-11,41
bossing-text-channel,2020-12,530
bossing-text-channel,2021-01,45
bossing-text-channel,2021-02,102
bossing-text-channel,2021-03,164
bossing-text-channel,2021-04,191
bossing-text-channel,2021-05,77
bossing-text-channel,2021-06,128
bossing-text-channel,2021-07,20
bossing-text-channel,2021-08,118
bossing-text-channel,2021-09,64
bossing-text-channel,2021-10,79
bossing-text-channel,2021-11,11
bossing-text-channel,2021-12,21
bossing-text-channel,2022-01,26
bossing-text-channel,2022-02,23
bossing-text-channel,2022-03,1
bossing-text-channel,2022-06,1
bossing-text-channel,2022-07,12
bossing-text-channel,2022-08,11
bossing-text-channel,2022-10,16
bossing-text-channel,2022-11,19
bossing-text-channel,2022-12,10
bossing-text-channel,2023-01,1
bot-commands,2026-04,238
bot-commands,2026-05,4
bot-commands,2026-06,22
bot-commands,2026-07,13
clan-charter,2026-04,3
content-recs,2020-10,41
content-recs,2020-11,28
content-recs,2020-12,30
content-recs,2021-01,52
content-recs,2021-02,317
content-recs,2021-03,135
content-recs,2021-04,57
content-recs,2021-05,288
content-recs,2021-06,171
content-recs,2021-07,57
content-recs,2021-08,8
content-recs,2021-09,43
content-recs,2021-10,36
content-recs,2021-11,20
content-recs,2021-12,30
content-recs,2022-01,53
content-recs,2022-02,84
content-recs,2022-03,29
content-recs,2022-04,1
content-recs,2022-05,6
content-recs,2022-06,1
content-recs,2022-07,25
content-recs,2022-08,18
content-recs,2022-09,56
content-recs,2022-10,13
content-recs,2022-11,24
content-recs,2022-12,5
content-recs,2023-01,12
content-recs,2023-02,41
content-recs,2023-03,39
content-recs,2023-04,435
content-recs,2023-05,19
content-recs,2023-06,5
content-recs,2023-07,25
content-recs,2023-08,26
content-recs,2023-09,27
content-recs,2023-10,20
content-recs,2023-11,59
content-recs,2023-12,79
content-recs,2024-01,13
content-recs,2024-03,28
content-recs,2024-07,3
content-recs,2024-08,46
content-recs,2024-09,34
content-recs,2024-10,6
content-recs,2024-11,12
content-recs,2024-12,2
content-recs,2025-01,13
content-recs,2025-02,20
content-recs,2025-03,28
content-recs,2025-04,8
content-recs,2025-05,16
content-recs,2025-06,20
content-recs,2025-07,23
content-recs,2025-08,25
content-recs,2025-09,51
content-recs,2025-10,118
content-recs,2025-11,38
content-recs,2025-12,96
content-recs,2026-01,145
content-recs,2026-02,11
content-recs,2026-03,22
content-recs,2026-04,35
content-recs,2026-05,44
content-recs,2026-06,59
content-recs,2026-07,7
cooking-guild,2021-04,28
cooking-guild,2021-05,32
cooking-guild,2021-06,27
cooking-guild,2021-07,35
cooking-guild,2021-08,25
