parent_channel,week_start,message_count
28slotcommie,2021-02-22,3
28slotcommie,2021-04-19,19
28slotcommie,2021-04-26,10
28slotcommie,2021-05-03,26
28slotcommie,2021-05-10,11
28slotcommie,2021-05-17,4
28slotcommie,2021-05-24,5
28slotcommie,2021-05-31,12
28slotcommie,2021-06-07,5
28slotcommie,2021-06-14,2
28slotcommie,2021-06-21,9
28slotcommie,2021-06-28,4
28slotcommie,2021-07-26,4
28slotcommie,2021-08-30,9
28slotcommie,2021-09-27,1
28slotcommie,2026-03-02,13
28slotcommie,2026-05-25,1
achievements,2020-10-05,133
achievements,2020-10-12,64
achievements,2020-10-19,14
achievements,2020-11-02,9
achievements,2020-11-16,13
achievements,2020-11-23,24
achievements,2020-11-30,2
achievements,2020-12-14,13
achievements,2020-12-21,33
achievements,2020-12-28,74
achievements,2021-01-04,44
achievements,2021-01-11,12
achievements,2021-01-18,130
achievements,2021-01-25,48
achievements,2021-02-01,36
achievements,2021-02-08,7
achievements,2021-02-15,71
achievements,2021-02-22,22
achievements,2021-03-01,38
achievements,2021-03-08,87
achievements,2021-03-15,73
achievements,2021-03-22,69
achievements,2021-03-29,44
achievements,2021-04-05,37
achievements,2021-04-12,60
achievements,2021-04-19,38
achievements,2021-04-26,93
achievements,2021-05-03,44
achievements,2021-05-10,73
achievements,2021-05-17,91
achievements,2021-05-24,88
achievements,2021-05-31,79
achievements,2021-06-07,92
achievements,2021-06-14,48
achievements,2021-06-21,71
achievements,2021-06-28,76
achievements,2021-07-05,94
achievements,2021-07-12,66
achievements,2021-07-19,139
achievements,2021-07-26,62
achievements,2021-08-02,38
achievements,2021-08-09,74
achievements,2021-08-16,80
achievements,2021-08-23,95
achievements,2021-08-30,62
achievements,2021-09-06,109
achievements,2021-09-13,58
achievements,2021-09-20,109
achievements,2021-09-27,99
achievements,2021-10-04,116
achievements,2021-10-11,112
achievements,2021-10-18,88
achievements,2021-10-25,39
achievements,2021-11-01,116
achievements,2021-11-08,101
achievements,2021-11-15,112
achievements,2021-11-22,59
achievements,2021-11-29,61
achievements,2021-12-06,79
achievements,2021-12-13,68
achievements,2021-12-20,57
achievements,2021-12-27,52
achievements,2022-01-03,102
achievements,2022-01-10,94
achievements,2022-01-17,140
achievements,2022-01-24,52
achievements,2022-01-31,33
achievements,2022-02-07,24
achievements,2022-02-14,22
achievements,2022-02-21,31
achievements,2022-02-28,45
achievements,2022-03-07,76
achievements,2022-03-14,55
achievements,2022-03-21,31
achievements,2022-03-28,22
